時間戳記,電燈狀態,溫度,濕度
2025-11-30 15:49:28,False,23.02,60.17
2025-11-30 15:49:31,True,23.5,61.2
2025-11-30 15:49:34,False,26.96,61.05
2025-11-30 15:49:37,True,23.74,64.4
2025-11-30 15:49:40,False,25.07,55.67
2025-11-30 15:49:43,False,24.41,56.15
2025-11-30 15:49:46,True,25.51,62.65
2025-11-30 15:49:49,False,25.47,62.89
2025-11-30 15:49:52,True,23.21,63.07
2025-11-30 15:49:55,False,23.4,59.12
2025-11-30 15:49:58,True,24.99,56.13
2025-11-30 15:50:01,True,25.62,58.02
2025-11-30 15:50:04,False,26.04,63.51
2025-11-30 15:50:07,False,24.53,63.37
2025-11-30 15:50:10,True,24.04,61.25
2025-11-30 15:50:13,True,24.72,61.42
2025-11-30 15:50:16,True,26.35,61.04
2025-11-30 15:50:19,True,25.92,59.48
2025-11-30 15:50:22,False,24.96,63.8
2025-11-30 15:50:25,False,25.84,60.0
2025-11-30 15:50:28,False,24.0,64.42
2025-11-30 15:50:31,True,23.62,55.96
2025-11-30 15:50:34,True,24.18,61.33
2025-11-30 15:50:37,True,25.42,60.2
2025-11-30 15:50:40,True,26.98,59.38
2025-11-30 15:50:43,True,26.44,61.53
2025-11-30 15:50:46,True,26.46,56.15
2025-11-30 15:50:49,False,23.47,60.37
2025-11-30 15:50:52,True,23.6,57.36
2025-11-30 15:50:55,True,26.28,64.18
2025-11-30 15:50:58,True,23.91,55.14
2025-11-30 15:51:01,False,24.36,56.13
2025-11-30 15:51:04,False,23.35,57.5
2025-11-30 15:51:07,False,24.23,64.68
2025-11-30 15:51:10,True,25.99,63.47
2025-11-30 15:51:13,False,25.51,58.89
2025-11-30 15:51:16,True,25.42,58.94
2025-11-30 15:51:19,True,23.61,56.05
2025-11-30 15:51:22,True,24.82,57.46
2025-11-30 15:51:26,True,24.16,57.85
2025-11-30 15:51:29,False,24.55,63.74
2025-11-30 15:51:32,True,23.63,56.26
2025-11-30 15:51:35,False,26.58,60.77
2025-11-30 15:51:38,False,23.83,63.8
2025-11-30 15:51:41,True,25.49,58.77
2025-11-30 15:51:44,True,25.0,61.4
2025-11-30 15:51:47,False,26.06,60.21
2025-11-30 15:51:50,True,25.62,61.44
2025-11-30 15:51:53,True,24.03,56.32
2025-11-30 15:51:56,True,24.73,61.5
2025-11-30 15:51:59,True,24.89,62.87
2025-11-30 15:52:02,True,26.36,62.84
2025-11-30 15:52:05,False,24.5,57.77
2025-11-30 15:52:08,True,26.97,62.55
